,open,high,low,close,vol
20181031,23600,24500,23000,24150,
20181030,23500,24300,22650,23550,
20181029,24300,25100,23550,23600,
20181026,25850,25900,24200,24850,
20181025,25700,26050,25200,25700,
20181024,27100,27200,26000,26500,
20181023,27650,28000,26350,26650,
20181022,28050,28200,27200,27450,
20181019,28400,28400,27750,28200,
20181018,28950,29000,28600,28700,
20181017,29250,29500,28600,28950,
20181016,28400,29300,28400,29050,
20181015,29350,29400,28600,28750,
20181012,28450,29600,28450,29350,
20181011,29800,30200,28800,28900,
20181010,31500,31700,30500,30750,
20181008,31900,32200,31500,31500,
20181005,32800,33300,32300,32650,
20181004,33850,34000,32400,32800,
20181002,33150,33900,33100,33450,
20181001,32000,33400,31800,33000,
20180928,32200,32450,31600,31750,
20180927,32700,33050,32300,32500,
20180921,32050,32450,32000,32300,
20180920,31850,32200,31450,31650,
20180919,32100,32700,31500,31550,
20180918,31600,31700,31400,31450,
20180917,32300,32400,31700,31900,
20180914,32550,32950,32400,32550,
20180913,31950,33300,31950,32600,
20180912,32050,32200,31150,31400,
20180911,32100,32200,31850,31900,
20180910,32100,32450,31800,32200,
20180907,32350,32700,31950,32300,
20180906,31750,32550,31750,32050,
20180905,32500,32700,32050,32050,
20180904,32900,33000,32350,32500,
20180903,33500,33500,32850,32900,
20180831,33900,33900,33250,33650,
20180830,34900,34900,33700,34000,
20180829,34400,35400,34400,34650,
20180828,35050,35200,34250,34300,
20180827,32900,34700,32850,34550,
20180824,32300,32650,31950,32400,
20180823,33600,33650,32550,32650,
20180822,32200,33700,32150,33350,
20180821,32100,32300,31450,31900,
20180820,31700,32600,31650,32300,
20180817,32050,32300,31200,31300,
20180816,31500,31800,30500,31200,
20180814,32100,32300,31800,32200,
20180813,32700,32700,31750,31900,
20180810,32850,33200,32550,32900,
20180809,33300,33300,32550,32700,
20180808,33600,34200,33450,33450,
20180807,34100,34100,33300,33500,
20180806,32250,34450,32250,34200,
20180803,31950,32650,31700,32450,
20180802,32200,33050,31600,31700,
20180801,32800,33000,32400,32700,
20180731,33100,33200,32350,32700,
20180730,34550,34550,32100,33400,
20180727,35500,35700,34550,35250,
20180726,34850,36250,34550,35500,
20180725,33900,35400,33900,34550,
20180724,31500,33550,31500,33250,
20180723,31250,32200,31150,31550,
20180720,33050,33050,30800,31050,
20180719,33450,33900,33050,33050,
20180718,33700,34100,33500,33600,
20180717,32850,33950,32850,33650,
20180716,32900,33250,32600,32850,
20180713,33300,33850,32600,32900,
20180712,32650,33700,32500,33450,
20180711,32900,33200,32300,32650,
20180710,32300,33950,32300,33350,
20180709,32800,32800,31900,32150,
20180706,32450,33100,32000,33000,
20180705,32650,33000,32000,32350,
20180704,32000,33450,32000,32800,
20180703,32700,32800,31850,32550,
20180702,33650,33650,32200,32400,
20180629,33800,34150,33050,34050,
20180628,33900,34400,33150,33650,
20180627,34550,34550,33550,33600,
20180626,33900,35050,33800,34550,
20180625,33350,34500,32750,34400,
20180622,32650,33450,32150,33150,
20180621,34250,34600,33100,33150,
20180620,34650,35000,33850,34150,
20180619,36200,36650,34550,34650,
20180618,37900,38200,36300,36550,
20180615,38900,39150,38000,38400,
20180614,40450,40450,38650,39150,
20180612,41350,41700,39850,40450,
20180611,40400,41350,40350,40850,
20180608,40500,41250,39300,40350,
20180607,39100,41350,39000,40850,
20180605,37600,38950,37600,37950,
20180604,36300,37850,35700,37550,
20180601,35950,36500,35600,36350,
20180531,36500,36500,35750,35950,
20180530,37150,37400,36150,36400,
20180529,38000,38000,37350,37500,
20180528,37850,38500,37700,37950,
20180525,38450,39200,37200,37700,
20180524,39000,39000,38000,38150,
20180523,39700,39750,38850,38950,
20180521,40750,40750,39350,39700,
20180518,39850,40900,39500,40450,
20180517,40450,41500,40000,40100,
20180516,41150,41300,39650,40250,
20180515,42200,42400,41000,41700,
20180514,40900,42350,40600,41950,
20180511,38450,40650,38450,40250,
20180510,36850,38000,36850,37950,
20180509,37100,37200,36750,36950,
20180508,37300,37350,36600,37200,
20180504,37400,37900,37050,37100,
20180503,37700,38100,37100,37750,
20180502,38050,39400,37550,37900,
20180430,37400,38400,37400,38150,
20180427,37750,38250,37550,37600,
20180426,37500,37950,37200,37750,
20180425,38300,38300,37450,37500,
20180424,38800,38900,37900,38500,
20180423,39450,39700,38500,38800,
20180420,39700,39700,38600,39500,
20180419,38250,39700,37700,39600,
20180418,37450,38050,37200,37350,
20180417,37500,37550,37050,37400,
20180416,37400,37650,36700,37300,
20180413,38000,38100,37200,37250,
20180412,37700,38450,37650,37950,
20180411,37750,37850,37350,37400,
20180410,37000,37750,36750,37650,
20180409,37200,37450,36700,37000,
20180406,38250,38250,37300,37850,
20180405,38350,38800,38000,38100,
20180404,39200,39250,38250,38300,
20180403,39600,39650,38750,39000,
20180402,39500,40450,39450,39650,
20180330,38550,39350,38550,39250,
20180329,39050,39450,38100,38450,
20180328,39150,39800,38550,39050,
20180327,39700,39700,38900,39400,
20180326,38150,39500,38100,39250,
20180323,39500,39700,38500,38600,
20180322,40100,40400,39850,40000,
20180321,40500,40700,39500,40150,
20180320,41100,41250,40600,40800,
20180319,41800,42050,41300,41500,
20180316,41750,41850,41200,41300,
20180315,40900,42200,40900,41900,
20180314,40950,41000,40500,40800,
20180313,41400,41550,40900,41400,
20180312,41500,41850,41050,41450,
20180309,41500,41800,40500,41200,
20180308,40400,41600,40400,41600,
20180307,41200,41350,40400,40400,
20180306,40900,41950,40700,41200,
20180305,42200,42400,40300,40350,
20180302,42500,42900,42150,42200,
20180228,43600,43950,43050,43050,
20180227,44450,44850,44100,44200,
20180226,44500,45300,44050,44500,
20180223,43800,44150,43550,44000,
20180222,43950,44200,43100,43500,
20180221,44450,44500,43750,44200,
20180220,44650,44700,43700,44500,
20180219,43150,44850,43100,44600,
20180214,42550,42600,41700,42300,
20180213,42600,42800,41900,42300,
20180212,42750,42750,42050,42300,
20180209,42500,43000,42000,42700,
20180208,42600,43600,42550,43600,
20180207,44550,44600,43000,43000,
20180206,42350,44000,42250,43850,
20180205,45200,45200,43550,44050,
20180202,47800,47800,45300,45750,
20180201,50600,50700,49600,50000,
20180131,51000,51200,49450,50300,
20180130,52000,52900,51400,51800,
20180129,51400,52000,50900,51800,
20180126,51400,51700,50600,51000,
20180125,50300,51600,50300,51400,
20180124,50400,50800,49550,49700,
20180123,50300,51400,49850,51000,
20180122,50300,50500,49550,50200,
20180119,49100,51200,48200,50900,
20180118,49300,50800,49200,49350,
20180117,50900,50900,48800,49200,
20180116,51900,52800,50600,50900,
20180115,51900,52500,51400,52200,
20180112,49600,50900,48950,50700,
20180111,51500,51600,48600,49600,
20180110,51800,51800,50600,50800,
20180109,50000,52700,49750,51400,
20180108,50500,50500,48950,50100,
20180105,48000,50700,48000,50300,
20180104,49550,49700,47800,47800,
20180103,49600,49950,48500,49650,
20180102,48200,50000,48200,49600,
20171228,47300,48200,46850,47500,
20171227,46500,47250,46200,46600,
20171226,46750,47600,46450,46500,
20171222,46300,46750,45700,46250,
20171221,46750,47250,45900,46200,
20171220,45100,47150,44800,46000,
20171219,43750,45100,43750,44300,
20171218,44600,44700,43250,43750,
20171215,42400,44550,42400,44450,
20171214,43200,43600,42150,42150,
20171213,42900,43700,42500,43100,
20171212,42400,43350,42400,42900,
20171211,41900,42850,41900,42650,
20171208,43000,43550,41800,42100,
20171207,44000,44650,43050,43050,
20171206,45400,45600,44000,44000,
20171205,45600,46000,45050,45850,
20171204,44650,45650,44550,45450,
20171201,45350,45650,44400,44550,
20171130,45550,46850,44950,44950,
20171129,46550,46600,45100,45150,
20171128,46150,47450,45650,46150,
20171127,45900,47100,44900,46300,
20171124,46700,46750,45400,45500,
20171123,44400,46650,44350,46300,
20171122,44500,45200,43700,43800,
20171121,45200,45250,43800,44200,
20171120,45450,45600,44850,44850,
20171117,46000,46450,45350,45700,
20171116,45650,46350,45100,45900,
20171115,47050,47200,45600,46000,
20171114,46850,48000,46850,47000,
20171113,47300,48000,46700,46700,
20171110,48650,48650,47400,47600,
20171109,48200,48750,48050,48350,
20171108,48650,48750,48000,48200,
20171107,48950,50000,48750,49200,
20171106,49650,49750,48600,49100,
20171103,50000,50600,49050,49500,
20171102,49600,50800,49600,49750,
20171101,49100,49500,48800,49200,
20171031,49700,49800,48450,49050,
20171030,49350,50200,48050,49900,
20171027,50700,51800,50100,51400,
20171026,52100,52100,50600,50900,
20171025,54900,54900,52200,52300,
20171024,54700,55200,53700,55200,
20171023,55500,55700,54500,54600,
20171020,54500,56000,54000,55400,
20171019,55700,56400,54600,54600,
20171018,58100,58100,56400,56900,
20171017,57000,58900,56400,58600,
20171016,54800,56300,54600,56000,
20171013,55300,56000,54300,54800,
20171012,55200,56500,55000,55300,
20171011,55100,55700,54200,55200,
20171010,52300,55200,52000,55100,
20170929,51900,52000,50500,51300,
20170928,50100,51200,49550,51100,
20170927,52000,52000,50100,50100,
20170926,50300,51900,50200,51500,
20170925,49900,50800,49600,50000,
20170922,51900,51900,48450,49900,
20170921,51400,52000,50400,51900,
20170920,53500,53500,51600,51700,
20170919,52700,53700,52400,52900,
20170918,52300,53200,51400,52700,
20170915,53500,53500,50800,52100,
20170914,54900,55000,53100,53200,
20170913,55700,55700,54700,54800,
20170912,54100,55800,53600,55800,
20170911,54000,55000,53000,53600,
20170908,55400,55900,54100,55000,
20170907,55400,56200,54400,55900,
20170906,56000,56100,54200,55200,
20170905,56600,56800,55800,55900,
20170904,55400,57300,55400,55900,
20170901,57500,57600,55700,56200,
20170831,56500,57600,56400,57000,
20170830,56300,56600,55600,56100,
20170829,54600,56600,54000,55600,
20170828,54300,56600,54000,54600,
20170825,54200,54200,53600,54100,
20170824,53300,54200,53100,53800,
20170823,54900,55100,53100,53300,
20170822,53900,54700,53500,54100,
20170821,52900,53900,52200,52800,
20170818,53800,54700,53100,53100,
20170817,53000,54900,52700,54300,
20170816,52000,52200,50700,51600,
20170814,52100,52400,51100,51600,
20170811,52800,53900,51200,51600,
20170810,53500,54300,52400,53900,
20170809,53400,54700,53200,53400,
20170808,53300,54200,52000,53400,
20170807,54800,54800,52400,52800,
20170804,52100,54700,52100,54300,
20170803,53600,53800,51100,52500,
20170802,51800,54100,50600,53700,
20170801,50500,52400,50300,51900,
20170731,48350,50400,47750,49700,
20170728,49200,49800,48250,48450,
20170727,48200,49900,47500,49400,
20170726,46900,48850,45900,47600,
20170725,43050,46350,42500,45850,
20170724,46650,46900,45950,46500,
20170721,47200,47200,46200,46400,
20170720,47450,47750,47000,47500,
20170719,47450,47650,46950,47400,
20170718,47500,47700,46800,47150,
20170717,46550,47300,46350,46950,
20170714,46000,46800,45450,46300,
20170713,45300,45950,44500,45950,
20170712,46600,46700,45100,45250,
20170711,44700,47000,44700,46600,
20170710,45500,45800,44600,44650,
20170707,45200,46550,45000,45300,
20170706,44550,45050,43900,45000,
20170705,43550,45150,43550,45050,
20170704,44900,44900,43550,43800,
20170703,43050,44800,43050,44700,
20170630,42650,43700,42600,43000,
20170629,42200,43000,41950,42650,
20170628,40000,42100,39950,42000,
20170627,40150,40200,39850,39950,
20170626,40150,40350,39400,40200,
20170623,40050,40350,39650,40150,
20170622,40500,40550,39450,40000,
20170621,40050,40550,39150,40150,
20170620,40450,40550,40050,40350,
20170619,41750,41750,40300,40400,
20170616,41050,41850,40750,41300,
20170615,41600,41600,40750,41100,
20170614,40750,41850,40750,41750,
20170613,40900,41100,40500,41000,
20170612,40500,40850,40300,40700,
20170609,40250,41200,40250,40500,
20170608,40100,40400,39800,40000,
20170607,39950,40400,39850,40050,
20170605,40900,40900,40000,40150,
20170602,40950,41300,40700,40850,
20170601,41300,41350,40750,40900,
20170531,41600,41600,41150,41400,
20170530,41750,41950,41150,41750,
20170529,41600,41900,41200,41400,
20170526,42200,42200,41500,41600,
20170525,42150,42350,41450,42200,
20170524,40800,42050,40800,41950,
20170523,40700,41100,40250,40800,
20170522,39750,40500,39750,40450,
20170519,39650,39800,39350,39650,
20170518,39300,40050,39300,39800,
20170517,40450,40500,39300,39650,
20170516,40000,40500,39800,40450,
20170515,40100,40350,39500,39800,
20170512,40200,40250,39800,39900,
20170511,39400,40300,39400,40300,
20170510,39500,40100,39100,39400,
20170508,40150,40150,39000,39300,
20170504,40000,40550,39800,40100,
20170502,39350,40200,39300,40000,
20170428,40700,40700,38950,39050,
20170427,39900,41100,39850,40150,
20170426,39650,40200,39300,39750,
20170425,39400,39700,38800,39500,
20170424,39500,40500,39300,39400,
20170421,39550,39550,38950,39300,
20170420,39050,39300,38500,39200,
20170419,39600,39800,38700,38700,
20170418,40000,40100,39450,39600,
20170417,39500,40150,39050,40000,
20170414,40300,40800,39800,39900,
20170413,40850,40900,40200,40700,
20170412,40800,42300,40300,40500,
20170411,40800,41350,40450,40450,
20170410,41450,41500,40500,41200,
20170407,41600,41750,41000,41250,
20170406,39600,41800,39500,41500,
20170405,39000,39450,38800,39050,
20170404,38450,39000,38150,38700,
20170403,39100,39150,38300,38550,
20170331,39200,39250,38600,39100,
20170330,39100,39400,38700,39000,
20170329,39100,39400,38100,38700,
20170328,38700,39200,38250,38600,
20170327,38800,39150,38000,38700,
20170324,39300,39350,38250,39000,
20170323,37600,39600,37500,39400,
20170322,37500,37800,37050,37150,
20170321,38650,38650,37550,37900,
20170320,38150,38550,38150,38450,
20170317,38750,38800,38200,38300,
20170316,38150,38650,38000,38500,
20170315,38100,38350,37350,37450,
20170314,38300,39000,37600,38250,
20170313,39400,39400,37800,38100,
20170310,39500,39700,38950,39100,
20170309,40050,40200,39400,39950,
20170308,39550,40500,39250,40000,
20170307,39100,39700,38800,39500,
20170306,39600,39750,39000,39250,
20170303,40050,40700,39900,39900,
20170302,41250,41650,40200,40300,
20170228,39700,41050,39700,40950,
20170227,40400,40400,39500,39950,
20170224,40300,40650,39600,39950,
20170223,41650,41650,40600,41000,
20170222,41600,41900,41300,41350,
20170221,40550,42500,40550,41450,
20170220,40300,40700,39850,40000,
20170217,40000,41000,40000,40300,
20170216,41200,41300,39950,40000,
20170215,41600,42000,41100,41800,
20170214,42100,42550,41350,41400,
20170213,40150,41450,39800,41300,
20170210,39700,40300,39550,39700,
20170209,39650,40450,39650,40100,
20170208,40500,40750,39350,40350,
20170207,40200,40300,38800,40300,
20170206,43100,43150,40100,40200,
20170203,43000,43900,42650,42700,
20170202,43550,43850,43050,43050,
20170201,43600,44050,42950,43700,
20170131,44150,44150,43250,43500,
20170126,43350,44300,43100,44000,
20170125,44750,44900,43650,43800,
20170124,43700,44050,42900,43950,
20170123,42900,43800,42900,43750,
20170120,43700,43900,42850,42900,
20170119,43150,44400,42700,43700,
20170118,43650,43700,42900,43150,
20170117,44350,45050,43400,44000,
20170116,44100,44800,43800,44300,
20170113,43950,44200,43300,43900,
20170112,44350,44750,43250,43800,
20170111,41300,44350,41300,44300,
20170110,41250,41550,40200,41250,
20170109,42900,42900,41550,41650,
20170106,42100,43200,41800,42900,
20170105,41400,42250,41100,41400,
20170104,41400,41700,40850,41250,
20170103,40900,42050,40250,41400,
20170102,40500,41150,40100,40750,
20161229,40700,40750,39650,40500,
20161228,40800,40900,40250,40300,
20161227,40650,41250,40400,41150,
20161226,41300,41500,40450,40600,
20161223,42200,42350,41500,41600,
20161222,42650,42700,41800,42400,
20161221,42450,43450,42250,42450,
20161220,42450,42500,41850,42350,
20161219,41850,42450,41450,42300,
20161216,43300,43450,41900,42350,
20161215,42600,43600,42400,43350,
20161214,43100,43350,42600,43200,
20161213,43700,43750,42550,43000,
20161212,44200,44300,43100,43800,
20161209,44400,44450,43450,43850,
20161208,44350,44800,43750,44600,
20161207,43900,45250,43050,44000,
20161206,41050,43850,41050,43450,
20161205,39250,40250,39100,40250,
20161202,39100,40100,39000,39250,
20161201,38500,39500,38000,39300,
20161130,39300,39300,37750,38800,
20161129,39000,39800,38700,39300,
20161128,39350,40000,38850,39000,
20161125,40400,40650,39300,39450,
20161124,40200,40600,39750,39900,
20161123,40000,40750,39500,40100,
20161122,39000,40000,38650,40000,
20161121,40000,40000,38350,38600,
20161118,39950,40350,39400,39900,
20161117,40350,40900,39900,40000,
20161116,40800,41400,39850,41150,
20161115,40350,41450,39400,40700,
20161114,40100,41700,39300,40350,
20161111,38550,40800,38350,39700,
20161110,36000,39250,35900,38300,
20161109,35350,37000,33800,35400,
20161108,35400,35450,34800,35100,
20161107,35900,35900,34950,35250,
20161104,34700,35850,34300,35850,
20161103,34300,34750,33950,34350,
20161102,34750,35400,34250,34800,
20161101,34850,35100,34400,35000,
20161031,34000,35050,33100,34800,
20161028,34700,34800,34300,34750,
20161027,34500,35150,34150,34550,
20161026,33950,34300,33700,34000,
20161025,33950,34250,33550,34100,
20161024,33450,34150,33300,33900,
20161021,34400,34450,33650,33650,
20161020,34150,34550,33950,34250,
20161019,33800,34300,33800,34300,
20161018,33500,33750,33250,33650,
20161017,33250,33650,32950,33600,
20161014,33500,33800,33150,33250,
20161013,34000,34100,33250,33250,
20161012,34300,34550,33750,34000,
20161011,34400,34450,33950,34250,
20161010,33300,34300,33250,34150,
20161007,33650,34000,33100,33400,
20161006,34000,34050,33650,33850,
20161005,33950,34100,33500,34100,
20161004,33950,34100,33200,33950,
20160930,33500,34100,33500,33850,
20160929,33800,34000,33600,33850,
20160928,33850,33850,33300,33650,
20160927,32500,33850,32250,33850,
20160926,32500,32850,32200,32500,
20160923,32950,32950,32300,32700,
20160922,31950,32900,31900,32650,
20160921,31300,31950,31200,31800,
20160920,31400,31650,31050,31600,
20160919,31600,31950,31450,31500,
20160913,31800,32250,31400,31900,
20160912,31500,31950,31500,31700,
20160909,31950,32350,31750,32200,
20160908,32800,32950,32150,32350,
20160907,32150,33100,32150,32950,
20160906,32500,32700,32250,32400,
20160905,32200,32800,32150,32600,
20160902,31650,31950,31300,31700,
20160901,31350,31800,31000,31350,
20160831,31800,31900,30750,31350,
20160830,31500,32100,31500,31700,
20160829,32350,32400,31450,31650,
20160826,32450,32600,32100,32500,
20160825,32500,32550,31900,32400,
20160824,31700,33150,31600,32650,
20160823,32200,32250,31200,31750,
20160822,33250,33250,32250,32300,
20160819,32550,33350,32300,33250,
20160818,33000,33450,32400,32550,
20160817,33450,33500,32550,32900,
20160816,33850,34000,33300,33400,
20160812,32900,33800,32750,33750,
20160811,32350,32900,32200,32700,
20160810,32900,33100,32150,32200,
20160809,31700,33000,31700,33000,
20160808,32950,33000,31500,31700,
20160805,32550,33100,32250,32850,
20160804,32800,32850,32200,32400,
20160803,32600,32900,32350,32450,
20160802,32500,32800,32000,32700,
20160801,31200,32400,31200,32400,
20160729,31300,31800,30750,31050,
20160728,31500,32150,31000,31300,
20160727,30650,30850,30400,30500,
20160726,30850,30850,30200,30650,
20160725,30500,30900,30350,30850,
20160722,30300,30850,30150,30450,
20160721,30850,30850,30200,30300,
20160720,30100,30850,30000,30700,
20160719,31100,31100,29900,30300,
20160718,31300,31450,30900,31100,
20160715,31700,31850,31200,31400,
20160714,31950,32050,31050,31550,
20160713,31100,32000,31100,31800,
20160712,30400,30900,29950,30900,
20160711,29950,30250,29900,30250,
20160708,29500,29850,29400,29650,
20160707,29400,29850,29350,29850,
20160706,29850,29850,28900,29150,
20160705,29850,30100,29550,29700,
20160704,30200,30450,29350,29700,
20160701,29350,30200,29300,30000,
20160630,30000,30100,28950,29150,
20160629,29300,29900,29250,29800,
20160628,28800,29300,28800,29150,
20160627,28900,29250,28650,29250,
20160624,30500,31050,29050,29350,
20160623,30200,30500,29950,30350,
20160622,29900,30450,29750,30350,
20160621,29400,30100,29100,29900,
20160620,29000,29450,28850,29250,
20160617,29850,29850,28500,28650,
20160616,29350,29900,28850,28950,
20160615,28650,29400,28600,29300,
20160614,30100,30100,28500,29050,
20160613,29800,30350,29150,30100,
20160610,29500,30350,29450,30100,
20160609,30150,30300,29500,29500,
20160608,29900,30250,29100,30200,
20160607,29100,30000,29100,29900,
20160603,29300,29600,28700,28950,
20160602,29400,29750,29250,29350,
20160601,29850,30200,29150,29400,
20160531,29950,30150,29150,29850,
20160530,31500,31800,29800,29950,
20160527,30250,31050,30250,30850,
20160526,30100,30500,29800,30250,
20160525,30100,30250,29650,30000,
20160524,29200,30100,29150,29750,
20160523,29250,29750,28950,29150,
20160520,30000,30050,28850,29200,
20160519,30200,30650,29850,30150,
20160518,30100,30700,30100,30250,
20160517,30250,30450,29400,30300,
20160516,30500,30500,29400,29950,
20160513,30600,30800,30400,30700,
20160512,30500,30650,30100,30400,
20160511,30300,30700,29950,30550,
20160510,31500,31700,29900,30050,
20160509,31150,31800,31100,31500,
20160504,32000,32100,31100,31150,
20160503,31950,32200,31800,32000,
20160502,31950,32200,31350,31800,
20160429,31300,32350,31000,31850,
20160428,32250,32350,31000,31400,
20160427,30600,31250,30450,30900,
20160426,30900,30950,30300,30700,
20160425,30800,30950,30350,30700,
20160422,31500,31550,30650,30750,
20160421,31500,31650,31250,31550,
20160420,31450,31500,31100,31250,
20160419,31000,31500,30950,31300,
20160418,30300,31000,30250,30800,
20160415,30750,31000,30300,30850,
20160414,30500,31350,30450,30750,
20160412,30550,30750,29900,30350,
20160411,30350,30800,30150,30750,
20160408,29800,30500,29800,30350,
20160407,30450,30650,30000,30100,
20160406,29100,30650,29100,30450,
20160405,28900,29550,28850,29400,
20160404,28900,29200,28450,28900,
